Round_ID;Works_Order_No;Yard_Location;HSM_LPST;HSM_PSD;SO_Due_Date;Sales_Ord_No;Prod_Grp;Slab_Grade;Customer_Name;Sort_Grade;Slab_Weight;Expedite_Level;CULPST;Round_Type;Flow;Furnace_Group;Internal_Order;Galv_Options;SelectionCost
HM-ALL;0001056466;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21820;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056470;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21681;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056471;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21659;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056481;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21750;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056482;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21750;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056483;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21694;;7/22/2018;Light Regular;CRFH;;;;1.9166
HM-ALL;0001056485;InnerBay;7/14/2018;7/14/2018;7/23/2018;1559690010;CRFH;32AB7;New Millennium Building Systems, LLC;7;21656;;7/22/2018;Light Regular;CRFH;;;;1.9166
HMC;0001056495;InnerBay;6/24/2018;6/27/2018;7/2/2018;30003905020003;HRP;M5A05;General Motors de Mexico;6;21715;;7/1/2018;Light HSLA;HRP;;;;0.8636
HMC;0001056496;InnerBay;6/24/2018;6/27/2018;7/2/2018;30003905020003;HRP;M5A05;General Motors de Mexico;6;21650;;7/1/2018;Light HSLA;HRP;;;;0.8636
HMC;0001056511;InnerBay;6/24/2018;6/27/2018;7/2/2018;30003905020003;HRP;M5A05;General Motors de Mexico;6;21388;;7/1/2018;Light HSLA;HRP;;;;0.8636
HMC;0001056517;InnerBay;6/24/2018;6/27/2018;7/2/2018;30003905020003;HRP;M5A05;General Motors de Mexico;6;21620;;7/1/2018;Light HSLA;HRP;;;;0.8636
HMC;0001056523;InnerBay;6/24/2018;6/27/2018;7/2/2018;30003905020003;HRP;M5A05;General Motors de Mexico;6;21620;;7/1/2018;Light HSLA;HRP;;;;0.8636
HMC;0001056524;InnerBay;6/24/2018;6/27/2018;7/2/2018;30003905020003;HRP;M5A05;General Motors de Mexico;6;21798;;7/1/2018;Light HSLA;HRP;;;;0.8636
HMC;0001056533;InnerBay;6/24/2018;6/27/2018;7/2/2018;30003905020003;HRP;M5A05;General Motors de Mexico;6;21775;;7/1/2018;Light HSLA;HRP;;;;0.8636
HMC;0001056544;InnerBay;6/24/2018;6/27/2018;7/2/2018;30003905020003;HRP;M5A05;General Motors de Mexico;6;21820;;7/1/2018;Light HSLA;HRP;;;;0.8636
HMC;0001056552;InnerBay;6/24/2018;6/27/2018;7/2/2018;30003905020003;HRP;M5A05;General Motors de Mexico;6;21715;;7/1/2018;Light HSLA;HRP;;;;0.8636
HMC;0001056561;InnerBay;6/24/2018;6/27/2018;7/2/2018;30003905020003;HRP;M5A05;General Motors de Mexico;6;21873;;7/1/2018;Light HSLA;HRP;;;;0.8636
HMC;0001056569;InnerBay;12/5/2018;6/24/2018;6/11/2018;1553450010;HR;M5A05_SR;AM/NS Calvert Internal Slab Rollings;7;13637;;6/7/2018;Intermediate HSLA;HR;;1;;0.3521
HMC;0001056602;InnerBay;4/29/2018;6/12/2018;5/7/2018;1499340010;HRP;1AC60;MISA Metals Inc;3;21660;;5/6/2018;???;HRP;;;;-39.5
